Table 1-10,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Female research doctorate recipients, by ethnicity, race, and citizenship status: 2013â€“23",,,,,,,,,,,
(Number),,,,,,,,,,,
"Ethnicity, race, and citizenship status",2013,2014,2015,2016,2017,2018.0,2019,2020,2021,2022,2023
Female doctorate recipients,24365,24813,25347,25222,25086,25308.0,25484,25353,24105,26986,27499
U.S. citizen or permanent resident,17414,17343,17853,18147,18171,18036.0,17959,17689,16555,18446,18893
Temporary visa holder,5571,5633,5734,5805,5686,6274.0,6556,6605,6293,7261,7198
Unknown citizenship,1380,1837,1760,1270,1229,998.0,969,1059,1257,1279,1408
Hispanic or Latino,1550,1559,1664,1806,1762,1726.0,1989,2061,2021,2324,2432
U.S. citizen or permanent resident,1230,1191,1330,1414,1385,1375.0,1542,1584,1585,1835,1900
Temporary visa holder,309,364,330,386,363,350.0,440,475,426,488,519
Unknown citizenship,11,4,4,6,14,1.0,7,2,10,1,13
Not Hispanic or Latino,,,,,,,,,,,
American Indian or Alaska Native,64,55,77,73,62,72.0,66,61,65,62,78
U.S. citizen or permanent resident,63,54,73,71,61,72.0,63,58,62,59,76
Temporary visa holdera,D,D,D,D,D,0.0,D,D,D,D,D
Unknown citizenship,D,D,D,D,D,0.0,D,D,D,D,D
Asian,5392,5465,5598,5513,5590,5899.0,5999,5899,5686,6605,6730
U.S. citizen or permanent resident,1628,1638,1713,1652,1843,1740.0,1792,1680,1583,1866,1983
Temporary visa holder,3753,3820,3874,3849,3733,4149.0,4186,4206,4095,4732,4731
Unknown citizenship,11,7,11,12,14,10.0,21,13,8,7,16
Black or African American,1554,1503,1660,1661,1745,1726.0,1831,1773,1821,1961,1998
U.S. citizen or permanent resident,1371,1351,1468,1495,1549,1526.0,1619,1536,1574,1691,1718
Temporary visa holder,182,148,187,161,182,197.0,205,229,237,269,278
Unknown citizenship,1,4,5,5,14,3.0,7,8,10,1,2
White,13263,13323,13518,13611,13397,13571.0,13189,13201,11889,13159,13119
U.S. citizen or permanent resident,12167,12239,12397,12469,12177,12316.0,11845,11841,10708,11841,11945
Temporary visa holder,1065,1065,1079,1121,1182,1235.0,1293,1336,1159,1311,1159
Unknown citizenship,31,19,42,21,38,20.0,51,24,22,7,15
More than one race,497,488,535,605,593,655.0,678,644,653,704,771
U.S. citizen or permanent resident,470,468,509,578,553,615.0,626,604,604,648,721
Temporary visa holder,27,20,25,27,D,40.0,D,D,D,D,D
Unknown citizenship,0,0,1,0,D,0.0,D,D,D,D,D
Other race or race not reported,204,162,167,192,312,333.0,373,353,366,387,441
U.S. citizen or permanent resident,131,110,97,123,202,156.0,174,178,173,196,221
Temporary visa holder,D,D,D,D,88,171.0,177,161,166,188,214
Unknown citizenship,D,D,D,D,22,6.0,22,14,27,3,6
Ethnicity not reported,1841,2258,2128,1761,1625,1326.0,1359,1361,1604,1784,1930
U.S. citizen or permanent resident,354,292,266,345,401,236.0,298,208,266,310,329
Temporary visa holder,175,172,183,203,99,132.0,200,155,158,214,245
Unknown citizenship,1312,1794,1679,1213,1125,958.0,861,998,1180,1260,1356
