Table 4-2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Research doctorate recipients' sources of financial support, by broad field of doctorate and sex: 2023",,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,
Sex and financial resource,All fields,Science and engineering,,,,,,,,,,,,Non-science and engineering,,,,,
,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
All doctorate recipients reporting source of support (number),51181,40949,1118,8849,1998,9484,1108,2367,1850,1527,4901,3194,4553,10232,1290,3428,2893,720,1901
Fellowship or scholarship,67,66.6,67.3,72.1,54.8,61.8,74.6,59.8,63.8,64.9,62.6,62.7,80.8,68.9,72.6,51.1,83.7,88.8,68.5
Dissertation grant,18.3,16.1,18.2,15,6.8,8.9,17.5,21,7.4,13.8,8.5,23.6,41.2,27.2,17.2,14.8,40.8,41.9,30.1
Assistantship,,,,,,,,,,,,,,,,,,,
Teaching,68.5,69.3,53,56.2,76.3,65.4,78,46.3,92.6,70.7,88.4,70,82.8,65.5,70.8,38.3,86.2,89.6,70.1
Research,68.4,74.2,81.2,66.6,84.2,85,86.6,52.3,64.4,78,88.7,61.7,64.8,45.1,65,37.1,39.3,35.3,58.4
Other,8.3,7,7.5,4.1,4.7,5,8,7.2,5.7,6.3,4.1,20.5,11.6,13.6,8.2,14.4,14.8,14.9,13.4
Traineeship,4,4.8,2,11.5,1.5,2.6,1.5,6.5,1.6,2.5,2,6.7,2.3,0.8,0.5,0.6,1,1,1.2
Internship or clinical residency,12.2,14.3,5.6,4.6,40.8,18.3,10.7,6,19.8,24.6,6.5,39.6,5.5,3.8,3.9,2.7,3.9,6.3,4.5
Loan (any source),20.4,16.9,17.5,14.6,8.8,9.8,11.7,36.2,7.3,13.3,9.3,45.1,24.7,34.4,18.2,45,29.5,32.1,34.7
Personal sources,,,,,,,,,,,,,,,,,,,
Savings,53.5,51,54,52.6,46.6,44,49.5,61.7,44.5,51.2,40.6,67.7,60.4,63.7,62.8,67,60.1,64.6,63.6
Other earnings during graduate school,29.9,25,29.6,23,17.6,15.8,24,45.7,19.7,23.2,14.3,46.5,39.2,49.5,24.6,59.1,50,57.1,45.5
"Spouse's, partner's, or family's earnings or savings",40.5,38.7,34.7,41,32.4,33.3,36.7,45.8,33,36.2,30.9,57.7,44.4,47.8,48.2,46.2,49.3,50.7,47
Employer reimbursement or assistance,10.2,8.6,10.5,7.6,10.4,7.3,9.9,21.5,7.3,9.2,5.8,8.4,8.5,16.7,12.2,27.7,9.9,6,14.3
Foreign (non-U.S.) support,4.5,4.3,6.4,3.2,5.5,5.5,5.4,5.2,4.1,5.1,3,1.2,5.9,5,5.7,3.9,4.8,6.9,6.1
Other ,1.1,1,1.2,0.9,1.2,0.5,1.1,2,0.6,1.2,0.6,1.8,1.2,1.5,1.6,1.7,1.3,1.8,1.6
Male doctorate recipients reporting source of support (number),26872,22714,498,4011,1502,6976,610,678,1325,951,3227,734,2202,4158,711,920,1470,312,745
Fellowship or scholarship,64.5,63.3,65.1,69.5,52.6,59.1,71.6,57.8,63.8,59.2,59.4,59.4,80.2,71.4,74,48.6,82.4,85.6,69.3
Dissertation grant,14.6,12.4,15.9,13.2,6,8.1,14.8,11.7,7.1,11.1,7.7,17.3,36.7,26.3,14.5,12.2,38,31.4,29.9
Assistantship,,,,,,,,,,,,,,,,,,,
Teaching,70.7,71,48.8,56.8,75.7,65,76.1,53.2,92.5,69.9,88.6,71.5,83.2,69.5,70,36,85.4,88.1,71
Research,72,77,85.3,66.9,84.7,84.9,85.6,56.2,62.9,79.9,89,57.5,63.7,44.3,66.1,33.7,37.7,27.6,56.9
Other,7,6,10,4.1,4.3,4.9,7.9,7.7,6,6,4.6,16.6,10,12.4,6.6,15.7,12,13.1,14.5
Traineeship,3.2,3.7,1,11,1.3,2,1.1,6.6,1.1,1.7,1.5,6.3,2.2,0.8,D,0.8,0.9,D,D
Internship or clinical residency,12.7,14.4,4.6,4.3,41.5,18.7,9.7,7.1,18.3,26.1,5.9,31.7,5.8,3.6,3.9,2.1,4.1,3.2,4
Loan (any source),16.8,13.8,17.7,14.9,8.7,10.5,9.3,29.2,7,10.3,9.4,45.9,22.4,33,19.4,47,29.7,36.5,34
Personal sources,,,,,,,,,,,,,,,,,,,
Savings,49.9,47.4,53.8,50.3,45.8,43.9,42.6,60.2,44.5,49.8,38.3,65.1,58.4,63.3,63.7,68.2,60.5,64.4,61.7
Other earnings during graduate school,25,20.9,30.1,22.1,17.7,15.6,18.5,35.7,19.6,20.3,13.2,47,35.4,47.2,24.9,61.3,49.6,58.3,41.6
"Spouse's, partner's, or family's earnings or savings",35,33.4,30.5,35.7,30.4,31.4,33.9,41.2,30.3,32.6,28.6,51.2,39.6,43.8,43.6,38.7,48.5,46.2,40.1
Employer reimbursement or assistance,9.3,8.2,11,7.7,10.7,7.8,10.5,15.6,7.5,8.7,6.3,7.9,8.4,15.1,10.4,29.8,10.3,6.4,14.2
Foreign (non-U.S.) support,5.1,5,8.4,3.4,5.5,6.1,6.4,7.8,4.1,5.7,2.8,1,6.6,5.7,5.8,4.7,5,6.7,7.8
Other ,1,0.9,1.2,0.9,1.2,0.5,1.5,1.6,0.7,1.1,0.4,1.9,1.4,1.8,1.8,1.6,1.6,2.6,2.1
Female doctorate recipients reporting source of support (number),24303,18229,620,4837,496,2508,498,1689,524,576,1673,2459,2349,6074,579,2508,1423,408,1156
Fellowship or scholarship,69.8,70.6,69,74.2,61.3,69.4,78.3,60.6,63.7,74.3,69,63.7,81.4,67.2,71,52,84.9,91.2,68.1
Dissertation grant,22.5,20.7,20,16.5,9.3,11.2,20.9,24.7,8,18.2,10.2,25.5,45.4,27.9,20.6,15.8,43.7,50,30.3
Assistantship,,,,,,,,,,,,,,,,,,,
Teaching,66.1,67.2,56.3,55.6,78,66.8,80.3,43.5,92.9,71.9,88,69.6,82.5,62.7,71.7,39.2,87.1,90.7,69.5
Research,64.4,70.7,77.9,66.3,82.7,85.1,88,50.7,68.3,74.8,88.3,63,65.9,45.6,63.7,38.4,41,41.2,59.4
Other,9.8,8.3,5.5,4.1,5.8,5.2,8.2,7,4.8,6.8,3.2,21.6,13,14.4,10.2,14,17.6,16.2,12.7
Traineeship,4.9,6.2,2.7,11.9,2,4.3,2,6.5,2.7,3.8,2.9,6.8,2.3,0.8,D,0.5,1.1,D,D
Internship or clinical residency,11.6,14.2,6.5,4.9,38.7,17.1,12,5.6,23.7,22,7.7,42,5.2,3.9,3.8,3,3.7,8.6,4.8
Loan (any source),24.5,20.9,17.4,14.4,9.1,7.7,14.7,39,8,18.2,9.1,44.8,26.9,35.4,16.8,44.3,29.2,28.7,35.2
Personal sources,,,,,,,,,,,,,,,,,,,
Savings,57.5,55.4,54.2,54.4,49,44.2,57.8,62.3,44.5,53.5,44.9,68.4,62.2,64,61.7,66.5,59.7,64.7,64.8
Other earnings during graduate school,35.4,30.1,29.2,23.7,17.1,16.2,30.7,49.7,20,28,16.4,46.3,42.8,51.1,24.2,58.3,50.4,56.1,48
"Spouse's, partner's, or family's earnings or savings",46.6,45.3,38.1,45.5,38.7,38.7,40.2,47.6,40.1,42.2,35.4,59.6,48.9,50.5,53.9,49,50.1,54.2,51.4
Employer reimbursement or assistance,11.2,9.1,10,7.6,9.5,5.7,9.2,23.8,6.7,10.1,4.9,8.5,8.6,17.8,14.3,27,9.3,5.6,14.4
Foreign (non-U.S.) support,3.7,3.5,4.7,3,5.2,3.5,4.2,4.2,4.2,4.2,3.3,1.2,5.3,4.5,5.7,3.6,4.5,7.1,5
Other ,1.2,1.1,1.1,0.9,1.2,0.4,0.6,2.1,0.6,1.6,0.9,1.7,1,1.4,1.2,1.7,1,1.2,1.3
