Table 4-3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"Research doctorate recipients' sources of financial support, by sex and broad field of doctorate: 2023",,,,,,,,,,,,,,,,,,,,
(Percent),,,,,,,,,,,,,,,,,,,,
Sex and financial resource,All fields (number),All fields (percent),Science and engineering ,,,,,,,,,,,,Non-science and engineering,,,,,
,,,Total,Agricultural sciences and natural resources,Biological and biomedical sciences,Computer and information sciences,Engineering,"Geosciences, atmospheric, and ocean sciences",Health sciences,Mathematics and statistics,Multidisciplinary/ interdisciplinary sciences,Physical sciences,Psychology,Social sciences,Total,Business,Education,Humanities,Visual and performing arts,Other non-science and engineering
All doctorate recipients reporting source of support,51181,100,80,2.2,17.3,3.9,18.5,2.2,4.6,3.6,3,9.6,6.2,8.9,20,2.5,6.7,5.7,1.4,3.7
Fellowship or scholarship,34305,100,79.4,2.2,18.6,3.2,17.1,2.4,4.1,3.4,2.9,8.9,5.8,10.7,20.6,2.7,5.1,7.1,1.9,3.8
Dissertation grant,9385,100,70.3,2.2,14.2,1.4,9,2.1,5.3,1.4,2.2,4.5,8,20,29.7,2.4,5.4,12.6,3.2,6.1
Assistantship,,,,,,,,,,,,,,,,,,,,
Teaching,35082,100,80.9,1.7,14.2,4.3,17.7,2.5,3.1,4.9,3.1,12.3,6.4,10.8,19.1,2.6,3.7,7.1,1.8,3.8
Research,35008,100,86.8,2.6,16.8,4.8,23,2.7,3.5,3.4,3.4,12.4,5.6,8.4,13.2,2.4,3.6,3.3,0.7,3.2
Other,4250,100,67.3,2,8.5,2.2,11.2,2.1,4,2.5,2.3,4.8,15.4,12.4,32.7,2.5,11.6,10,2.5,6
Traineeship,2053,100,95.9,1.1,49.6,1.4,12,0.8,7.5,1.4,1.9,4.8,10.4,5.1,4.1,0.3,1,1.4,0.3,1.1
Internship or clinical residency,6245,100,93.8,1,6.5,13.1,27.8,1.9,2.3,5.9,6,5.1,20.3,4,6.2,0.8,1.5,1.8,0.7,1.4
Loan (any source),10459,100,66.3,1.9,12.4,1.7,8.9,1.2,8.2,1.3,1.9,4.4,13.8,10.7,33.7,2.2,14.8,8.1,2.2,6.3
Personal sources,,,,,,,,,,,,,,,,,,,,
Savings,27389,100,76.2,2.2,17,3.4,15.2,2,5.3,3,2.9,7.3,7.9,10,23.8,3,8.4,6.3,1.7,4.4
Other earnings during graduate school,15317,100,66.9,2.2,13.3,2.3,9.8,1.7,7.1,2.4,2.3,4.6,9.7,11.7,33.1,2.1,13.2,9.4,2.7,5.6
"Spouse's, partner's, or family's earnings or savings",20751,100,76.4,1.9,17.5,3.1,15.2,2,5.2,2.9,2.7,7.3,8.9,9.7,23.6,3,7.6,6.9,1.8,4.3
Employer reimbursement or assistance,5229,100,67.4,2.2,12.9,4,13.2,2.1,9.7,2.6,2.7,5.4,5.1,7.4,32.6,3,18.2,5.5,0.8,5.2
Foreign (non-U.S.) support,2280,100,77.5,3.1,12.3,4.8,22.7,2.6,5.4,3.3,3.4,6.4,1.6,11.8,22.5,3.2,5.9,6.1,2.2,5.1
Other ,553,100,71.4,2.4,14.3,4.3,8.7,2.2,8.5,2.2,3.4,5.2,10.3,9.9,28.6,3.6,10.3,6.7,2.4,5.6
Male doctorate recipients reporting source of support,26872,100,84.5,1.9,14.9,5.6,26,2.3,2.5,4.9,3.5,12,2.7,8.2,15.5,2.6,3.4,5.5,1.2,2.8
Fellowship or scholarship,17345,100,82.9,1.9,16.1,4.6,23.8,2.5,2.3,4.9,3.2,11,2.5,10.2,17.1,3,2.6,7,1.5,3
Dissertation grant,3910,100,72,2,13.5,2.3,14.5,2.3,2,2.4,2.7,6.3,3.2,20.7,28,2.6,2.9,14.3,2.5,5.7
Assistantship,,,,,,,,,,,,,,,,,,,,
Teaching,19010,100,84.8,1.3,12,6,23.8,2.4,1.9,6.4,3.5,15,2.8,9.6,15.2,2.6,1.7,6.6,1.4,2.8
Research,19341,100,90.5,2.2,13.9,6.6,30.6,2.7,2,4.3,3.9,14.8,2.2,7.2,9.5,2.4,1.6,2.9,0.4,2.2
Other,1870,100,72.4,2.7,8.7,3.5,18.4,2.6,2.8,4.3,3,8,6.5,11.8,27.6,2.5,7.7,9.5,2.2,5.8
Traineeship,865,100,96.2,0.6,51.1,2.2,16,0.8,5.2,1.7,1.8,5.8,5.3,5.7,3.8,D,0.8,1.5,D,D
Internship or clinical residency,3416,100,95.7,0.7,5,18.3,38.1,1.7,1.4,7.1,7.3,5.5,6.8,3.7,4.3,0.8,0.6,1.8,0.3,0.9
Loan (any source),4503,100,69.5,2,13.3,2.9,16.3,1.3,4.4,2.1,2.2,6.7,7.5,10.9,30.5,3.1,9.6,9.7,2.5,5.6
Personal sources,,,,,,,,,,,,,,,,,,,,
Savings,13400,100,80.4,2,15.1,5.1,22.9,1.9,3,4.4,3.5,9.2,3.6,9.6,19.6,3.4,4.7,6.6,1.5,3.4
Other earnings during graduate school,6715,100,70.8,2.2,13.2,4,16.2,1.7,3.6,3.9,2.9,6.4,5.1,11.6,29.2,2.6,8.4,10.9,2.7,4.6
"Spouse's, partner's, or family's earnings or savings",9418,100,80.7,1.6,15.2,4.8,23.2,2.2,3,4.3,3.3,9.8,4,9.3,19.3,3.3,3.8,7.6,1.5,3.2
Employer reimbursement or assistance,2494,100,74.9,2.2,12.4,6.5,21.9,2.6,4.3,4,3.3,8.1,2.3,7.4,25.1,3,11,6.1,0.8,4.3
Foreign (non-U.S.) support,1370,100,82.7,3.1,10.1,6.1,31.2,2.8,3.9,3.9,3.9,6.6,0.5,10.6,17.3,3,3.1,5.4,1.5,4.2
Other ,271,100,72.3,2.2,13.3,6.6,14,3.3,4.1,3.3,3.7,5.2,5.2,11.4,27.7,4.8,5.5,8.5,3,5.9
Female doctorate recipients reporting source of support,24303,100,75,2.6,19.9,2,10.3,2,6.9,2.2,2.4,6.9,10.1,9.7,25,2.4,10.3,5.9,1.7,4.8
Fellowship or scholarship,16956,100,75.9,2.5,21.2,1.8,10.3,2.3,6,2,2.5,6.8,9.2,11.3,24.1,2.4,7.7,7.1,2.2,4.6
Dissertation grant,5474,100,69.1,2.3,14.6,0.8,5.1,1.9,7.6,0.8,1.9,3.1,11.5,19.5,30.9,2.2,7.3,11.4,3.7,6.4
Assistantship,,,,,,,,,,,,,,,,,,,,
Teaching,16066,100,76.3,2.2,16.7,2.4,10.4,2.5,4.6,3,2.6,9.2,10.6,12.1,23.7,2.6,6.1,7.7,2.3,5
Research,15662,100,82.3,3.1,20.5,2.6,13.6,2.8,5.5,2.3,2.8,9.4,9.9,9.9,17.7,2.4,6.1,3.7,1.1,4.4
Other,2380,100,63.3,1.4,8.4,1.2,5.5,1.7,5,1.1,1.6,2.2,22.4,12.8,36.7,2.5,14.7,10.5,2.8,6.2
Traineeship,1188,100,95.7,1.4,48.6,0.8,9.1,0.8,9.2,1.2,1.9,4,14.1,4.6,4.3,D,1.1,1.3,D,D
Internship or clinical residency,2829,100,91.6,1.4,8.4,6.8,15.2,2.1,3.4,4.4,4.5,4.5,36.5,4.3,8.4,0.8,2.6,1.9,1.2,1.9
Loan (any source),5955,100,63.9,1.8,11.7,0.8,3.3,1.2,11.1,0.7,1.8,2.6,18.5,10.6,36.1,1.6,18.7,7,2,6.8
Personal sources,,,,,,,,,,,,,,,,,,,,
Savings,13984,100,72.2,2.4,18.8,1.7,7.9,2.1,7.5,1.7,2.2,5.4,12,10.4,27.8,2.6,11.9,6.1,1.9,5.4
Other earnings during graduate school,8599,100,63.9,2.1,13.3,1,4.7,1.8,9.8,1.2,1.9,3.2,13.2,11.7,36.1,1.6,17,8.3,2.7,6.5
"Spouse's, partner's, or family's earnings or savings",11330,100,72.9,2.1,19.4,1.7,8.6,1.8,7.1,1.9,2.1,5.2,12.9,10.1,27.1,2.8,10.8,6.3,2,5.2
Employer reimbursement or assistance,2734,100,60.5,2.3,13.4,1.7,5.2,1.7,14.7,1.3,2.1,3,7.7,7.4,39.5,3,24.7,4.9,0.8,6.1
Foreign (non-U.S.) support,910,100,69.8,3.2,15.7,2.9,9.8,2.3,7.8,2.4,2.6,6.2,3.3,13.6,30.2,3.6,10,7,3.2,6.4
Other ,282,100,70.6,2.5,15.2,2.1,3.5,1.1,12.8,1.1,3.2,5.3,15.2,8.5,29.4,2.5,14.9,5,1.8,5.3
