Table 7-4,Unnamed: 1,Unnamed: 2
"Top 20 doctorate-granting institutions ranked by number of minority U.S. citizen and permanent resident research doctorate recipients, by ethnicity and race: 5-year total, 2019â€“23",,
(Number),,
Institution,Rank,Doctorate recipients
Hispanic or Latino (409 institutions),-,15364
From top 20 institutions,-,4393
"U. California, Berkeley",1,309
"U. California, Los Angeles",2,298
"U. Michigan, Ann Arbor",3,269
U. Florida,4,266
"Texas A&M U., College Station",5,251
Walden U.,6,241
Florida International U.,7,234
"U. Texas, Austin",8,225
"U. California, Irvine",9,220
"U. California, San Diego",10,210
U. Wisconsin-Madison,11,209
U. Arizona,12,202
Harvard U.,13,193
"U. California, Davis",14,188
"U. Texas, El Paso",15,187
"U. Illinois, Urbana-Champaign",16,180
"U. Washington, Seattle",16,180
Stanford U.,18,179
"Arizona State U., Tempe",19,176
Columbia U. in the City of New York,19,176
Not Hispanic or Latino,-,-
American Indian or Alaska Native (160 institutions),-,529
From top 20 institutions,-,254
U. Arizona,1,28
"U. Minnesota, Twin Cities",2,19
"U. New Mexico, Albuquerque",3,18
"Oklahoma State U., Stillwater",4,15
"Arizona State U., Tempe",5,14
"U. Washington, Seattle",5,14
U. Memphis,7,13
Walden U.,7,13
"U. Montana, Missoula",9,12
"U. Oklahoma, Norman",9,12
"Ohio State U., Columbus",11,11
U. Kansas,11,11
"U. California, Davis",13,10
"Texas A&M U., College Station",14,9
U. Oregon,14,9
U. North Dakota,16,8
"U. Alaska, Fairbanks",17,7
"U. California, Berkeley",17,7
North Carolina State U.,19,6
Texas Tech U.,19,6
"U. California, San Diego",19,6
"U. Michigan, Ann Arbor",19,6
Asian (394 institutions),-,17067
From top 20 institutions,-,6211
"U. California, Los Angeles",1,514
"U. California, Berkeley",2,472
Harvard U.,3,429
Massachusetts Institute of Technology,4,392
Stanford U.,5,382
"U. Michigan, Ann Arbor",6,337
Columbia U. in the City of New York,7,326
"U. California, Irvine",8,303
"U. Washington, Seattle",9,297
"U. California, San Diego",10,282
"U. Illinois, Urbana-Champaign",11,260
U. Southern California,12,257
"U. California, Davis",13,249
U. Pennsylvania,14,247
Georgia Institute of Technology,15,229
Johns Hopkins U.,16,225
"U. Minnesota, Twin Cities",17,218
Yale U.,18,206
U. Chicago,19,196
Cornell U.,20,195
"Ohio State U., Columbus",20,195
Black or African American (399 institutions),-,12784
From top 20 institutions,-,4083
Walden U.,1,1536
Howard U.,2,244
Jackson State U.,3,212
U. Georgia,4,168
"U. Michigan, Ann Arbor",5,148
Georgia State U.,6,142
Morgan State U.,7,134
"U. North Carolina, Chapel Hill",8,133
"Louisiana State U., Baton Rouge",9,131
U. Florida,10,127
"Ohio State U., Columbus",11,123
North Carolina Agricultural and Technical State U.,12,120
"U. Maryland, College Park",13,119
Florida State U.,14,112
Harvard U.,15,111
"U. Illinois, Urbana-Champaign",16,108
Michigan State U.,17,107
North Carolina State U.,18,104
"U. South Carolina, Columbia",18,104
"U. California, Los Angeles",20,100
Other (357 institutions)a,-,6049
From top 20 institutions,-,1879
"U. California, Berkeley",1,167
"U. California, Los Angeles",2,136
"U. Hawaii, Manoa",3,130
"U. Washington, Seattle",4,121
"U. Michigan, Ann Arbor",5,118
"U. California, Davis",6,117
Harvard U.,7,107
Walden U.,8,101
Stanford U.,9,98
U. Wisconsin-Madison,10,84
"U. California, San Diego",11,81
"U. Illinois, Urbana-Champaign",12,80
"U. North Carolina, Chapel Hill",13,75
"U. California, Irvine",14,73
Massachusetts Institute of Technology,15,68
U. Pennsylvania,16,67
Columbia U. in the City of New York,17,66
Yale U.,17,66
"Texas A&M U., College Station",19,62
U. Chicago,19,62
