Table 9-8,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Health sciences research doctorate recipients, postgraduation plans by sex and major field of doctorate: 2023",,,,,
(Number and percent),,,,,
Characteristic,All health sciences fields,Nursing and nursing science,Pharmacy and pharmaceutical sciences,Public health,"Health sciences, other"
Doctorate recipients reporting postgraduation status (number),2413,576,384,716,737
Definite postdoctoral training plans,22.6,12,29.7,28.9,21.2
Definite employment plans,51.8,62.2,43,45.1,54.8
Seeking employment or study,22.6,23.1,24.7,23.5,20.2
Other statusa,2.9,2.8,2.3,2.5,3.5
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,89,95.7,93.9,79.2,95.5
Other training or unknownc,11,4.3,6.1,20.8,4.5
Definite employment plans (%)d,,,,,
Academe,47.6,62.3,10.3,40.2,55.7
In tenure track faculty position (%),42,40.4,70.6,33.8,46.2
Not in tenure track position (%),52.6,52.5,D,D,51.6
Government,8.7,8.4,4.8,16.7,4.2
Industry or businesse,28.6,12.3,81.2,22.6,26.5
Nonprofit organization,11.9,13.7,D,17.6,D
Other or unknownf,3.1,3.4,D,2.8,D
Primary activityg,,,,,
Research and development,32.7,8.1,80,45.2,24.5
Teaching,33.9,56.1,6.3,17.5,39.1
Management or administration,7,9.6,0,8.6,6.3
Professional services and other,26.4,26.2,13.8,28.7,30.1
Secondary activityg,,,,,
Research and development,31.7,37.8,10,29.3,37.5
Teaching,11.8,13.7,4.4,11.5,13.5
Management or administration,16.6,12.8,21.3,20.7,14.8
Professional services and other,9.9,11,6.3,9.2,11.1
No secondary activity,29.9,24.7,58.1,29.3,23.2
Activity unknown,4.2,3.9,3,2.8,6.2
Postgraduation location (%)h,,,,,
United Statesi,92.5,90.9,91,92.8,94.1
Midwest,17.7,15.2,19.4,13.8,22.5
Northeast,23.1,28.6,32.6,18.1,18.8
South,33,31.6,21.1,40.2,33.2
West,18.2,15,17.2,20,19.5
Outside the United States,7.5,9.1,9,7.2,5.9
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),46.4,53.2,32.6,46.8,47.7
Male doctorate recipients reporting postgraduation status (number),693,64,189,201,239
Definite postdoctoral training plans,28.7,7.8,31.2,35.8,26.4
Definite employment plans,47.6,65.6,45.5,40.8,50.2
Seeking employment or study,20.2,23.4,20.1,19.9,19.7
Other statusa,3.5,3.1,3.2,3.5,3.8
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,85.4,D,94.9,69.4,93.7
Other training or unknownc,14.6,D,5.1,30.6,6.3
Definite employment plans (%)d,,,,,
Academe,38.8,64.3,14,34.1,50.8
In tenure track faculty position (%),45.3,37,D,D,44.3
Not in tenure track position (%),46.1,40.7,D,D,54.1
Government,10,D,D,25.6,4.2
Industry or businesse,39.7,D,D,26.8,30.8
Nonprofit organization,7.6,D,D,9.8,9.2
Other or unknownf,3.9,7.1,1.2,3.7,5
Primary activityg,,,,,
Research and development,43.8,14.6,D,D,30
Teaching,22.5,41.5,D,D,31.8
Management or administration,6,12.2,0,8.8,6.4
Professional services and other,27.6,31.7,10.7,37.5,31.8
Secondary activityg,,,,,
Research and development,29.8,41.5,10.7,32.5,38.2
Teaching,11.1,D,D,8.8,10.9
Management or administration,18.7,17.1,21.4,18.8,17.3
Professional services and other,9.2,D,D,12.5,11.8
No secondary activity,31.1,7.3,58.3,27.5,21.8
Activity unknown,4.5,2.4,2.3,2.4,8.3
Postgraduation location (%)h,,,,,
United Statesi,90,83,89,90.3,92.3
Midwest,17,12.8,19.3,10.4,21.9
Northeast,23.8,27.7,35.2,18.8,18
South,29.1,27.7,17.2,40.9,29
West,19.5,14.9,17.2,18.2,23.5
Outside the United States,10,17,11,9.7,7.7
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),40.6,55.3,33.1,42.9,41
Female doctorate recipients reporting postgraduation status (number),1720,512,195,515,498
Definite postdoctoral training plans,20.2,12.5,28.2,26.2,18.7
Definite employment plans,53.5,61.7,40.5,46.8,57
Seeking employment or study,23.5,23,29.2,24.9,20.5
Other statusa,2.6,2.7,1.5,2.1,3.4
Definite postdoctoral training plans (%)b,,,,,
Postdoc fellowship or research associateship,91.1,95.3,92.7,84.4,96.8
Other training or unknownc,8.9,4.7,7.3,15.6,3.2
Definite employment plans (%)d,,,,,
Academe,50.8,62,6.3,42.3,57.7
In tenure track faculty position (%),41.1,40.8,D,D,47
Not in tenure track position (%),54.4,54.1,D,D,50.6
Government,8.3,D,D,13.7,4.2
Industry or businesse,24.7,D,D,21.2,24.6
Nonprofit organization,13.5,D,D,20.3,D
Other or unknownf,2.8,2.8,D,2.5,D
Primary activityg,,,,,
Research and development,28.7,7.3,D,D,22.3
Teaching,38,58.1,D,D,42
Management or administration,7.4,9.2,0,8.5,6.3
Professional services and other,26,25.4,17.1,25.6,29.4
Secondary activityg,,,,,
Research and development,32.4,37.3,9.2,28.2,37.2
Teaching,12,D,D,12.4,14.5
Management or administration,15.9,12.2,21.1,21.4,13.8
Professional services and other,10.2,D,D,8.1,10.8
No secondary activity,29.5,27.1,57.9,29.9,23.8
Activity unknown,4.1,4.1,3.8,2.9,5.3
Postgraduation location (%)h,,,,,
United Statesi,93.5,91.8,93.3,93.9,95
Midwest,18,15.5,19.4,15.2,22.8
Northeast,22.7,28.7,29.9,17.8,19.1
South,34.6,32.1,25.4,39.9,35.3
West,17.7,15,17.2,20.7,17.5
Outside the United States,6.5,8.2,6.7,6.1,5
Location unknown,0,0,0,0,0
Postgraduation location in same state as doctorate institution (%),48.8,52.9,32.1,48.4,50.9
